,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,attack_time,attack_start,attack_stop,zero_crossing,spec_centroid,pitch
44,,None_f22,486472__tkky__piano-chopped-edited.wav,628224,651776,0.0013167797385350518,-1049.8378,244.40598,113.72223,7.5853577,-24.149746,-9.3604965,-1.4281311,-16.22918,-29.744995,-22.72284,-6.766075,-3.981472,-16.169783,-1.3670586347579956,0.0002494330983608961,0.043197277933359146,0.01116678025573492,251.71937561035156,45.0
45,,None_f22,486472__tkky__piano-chopped-edited.wav,628224,651776,0.0013167797385350518,-1049.8378,244.40598,113.72223,7.5853577,-24.149746,-9.3604965,-1.4281311,-16.22918,-29.744995,-22.72284,-6.766075,-3.981472,-16.169783,-1.3670586347579956,0.0002494330983608961,0.043197277933359146,0.01116678025573492,251.71937561035156,45.0
46,,None_f23,486472__tkky__piano-chopped-edited.wav,651776,675840,0.003042213143186366,-1039.9783,258.3999,127.52527,18.838684,-20.636059,-16.518097,-13.509346,-22.436485,-27.205002,-21.396973,-16.183067,-17.880917,-17.837698,-1.7354177236557007,0.0020181406289339066,0.020408162847161293,0.011220079846680164,259.6366882324219,57.0
47,,None_f23,486472__tkky__piano-chopped-edited.wav,651776,675840,0.003042213143186366,-1039.9783,258.3999,127.52527,18.838684,-20.636059,-16.518097,-13.509346,-22.436485,-27.205002,-21.396973,-16.183067,-17.880917,-17.837698,-1.7354177236557007,0.0020181406289339066,0.020408162847161293,0.011220079846680164,259.6366882324219,57.0
48,,None_f24,486472__tkky__piano-chopped-edited.wav,675840,699904,0.002070852892195925,-1016.9643,265.788,94.76654,-18.65094,-34.332104,-15.974594,-13.1981125,-17.55471,-16.284508,-18.465515,-23.991436,-17.875637,-2.527996,-1.6940736770629883,0.0,0.02022675797343254,0.015666555613279343,346.6548156738281,36.0
49,,None_f24,486472__tkky__piano-chopped-edited.wav,675840,699904,0.002070852892195925,-1016.9643,265.788,94.76654,-18.65094,-34.332104,-15.974594,-13.1981125,-17.55471,-16.284508,-18.465515,-23.991436,-17.875637,-2.527996,-1.6940736770629883,0.0,0.02022675797343254,0.015666555613279343,346.6548156738281,36.0
50,,None_f25,486472__tkky__piano-chopped-edited.wav,699904,723968,0.0015860795974731445,-1035.6764,254.32104,103.30408,-17.009644,-51.992474,-31.968025,-9.561974,-3.8675919,-5.791313,-6.983757,-7.7922363,-10.020214,-14.056953,-1.6801789999008179,0.0004081632650922984,0.021292516961693764,0.022107712924480438,565.303466796875,64.0
51,,None_f25,486472__tkky__piano-chopped-edited.wav,699904,723968,0.0015860795974731445,-1035.6764,254.32104,103.30408,-17.009644,-51.992474,-31.968025,-9.561974,-3.8675919,-5.791313,-6.983757,-7.7922363,-10.020214,-14.056953,-1.6801789999008179,0.0004081632650922984,0.021292516961693764,0.022107712924480438,565.303466796875,64.0
52,,None_f26,486472__tkky__piano-chopped-edited.wav,723968,748544,0.0017092184474070866,-1036.7058,253.07635,102.34515,-17.720795,-52.55474,-33.992805,-14.70211,-8.794838,-4.2282295,-1.5961838,-12.648865,-31.281445,-33.858574,-3.5304951667785645,0.0021315193735063076,0.0024263039231300354,0.02099609375,468.60760498046875,64.0
53,,None_f26,486472__tkky__piano-chopped-edited.wav,723968,748544,0.0017092184474070866,-1036.7058,253.07635,102.34515,-17.720795,-52.55474,-33.992805,-14.70211,-8.794838,-4.2282295,-1.5961838,-12.648865,-31.281445,-33.858574,-3.5304951667785645,0.0021315193735063076,0.0024263039231300354,0.02099609375,468.60760498046875,64.0
54,,None_f27,486472__tkky__piano-chopped-edited.wav,748544,771072,0.0018481063571843233,-1044.572,246.80154,103.15668,-18.130554,-59.509346,-41.205574,-13.606102,-0.10198212,6.285488,10.830914,5.165085,-13.638424,-30.612112,-2.040212631225586,0.0002040816325461492,0.00931972824037075,0.030229048803448677,630.4790649414062,76.0
55,,None_f27,486472__tkky__piano-chopped-edited.wav,748544,771072,0.0018481063571843233,-1044.572,246.80154,103.15668,-18.130554,-59.509346,-41.205574,-13.606102,-0.10198212,6.285488,10.830914,5.165085,-13.638424,-30.612112,-2.040212631225586,0.0002040816325461492,0.00931972824037075,0.030229048803448677,630.4790649414062,76.0
56,,None_f28,486472__tkky__piano-chopped-edited.wav,771072,820224,0.0010397170359889667,-1057.7932,241.90573,125.93408,21.348602,-23.159634,-17.238083,-0.51634216,3.2674637,-0.44369888,1.0016136,6.5719986,5.9654655,-3.66716,-1.4848713874816895,0.0024036280810832977,0.03514739125967026,0.013692219741642475,332.86602783203125,49.0
57,,None_f28,486472__tkky__piano-chopped-edited.wav,771072,820224,0.0010397170359889667,-1057.7932,241.90573,125.93408,21.348602,-23.159634,-17.238083,-0.51634216,3.2674637,-0.44369888,1.0016136,6.5719986,5.9654655,-3.66716,-1.4848713874816895,0.0024036280810832977,0.03514739125967026,0.013692219741642475,332.86602783203125,49.0
58,,None_f29,486472__tkky__piano-chopped-edited.wav,820224,846336,0.0012855506410785749,-1052.0101,250.78027,134.97046,26.824448,-24.988567,-26.348518,-13.183708,-9.063744,-11.053215,-8.206528,-0.8687973,1.9745445,-2.9469948,-1.314227819442749,0.0005215419223532081,0.04902494326233864,0.014514399692416191,301.3245544433594,43.0
59,,None_f29,486472__tkky__piano-chopped-edited.wav,820224,846336,0.0012855506410785749,-1052.0101,250.78027,134.97046,26.824448,-24.988567,-26.348518,-13.183708,-9.063744,-11.053215,-8.206528,-0.8687973,1.9745445,-2.9469948,-1.314227819442749,0.0005215419223532081,0.04902494326233864,0.014514399692416191,301.3245544433594,43.0
60,,None_f30,486472__tkky__piano-chopped-edited.wav,846336,868352,0.0018875323409257934,-1061.9983,245.94583,147.7301,47.19557,-11.678333,-22.253624,-8.141548,4.2547836,5.5963097,1.7898064,-0.02104187,0.04289627,-2.0876427,-0.6875501275062561,0.0,0.2053287923336029,0.007539970800280571,184.44056701660156,50.0
61,,None_f30,486472__tkky__piano-chopped-edited.wav,846336,868352,0.0018875323409257934,-1061.9983,245.94583,147.7301,47.19557,-11.678333,-22.253624,-8.141548,4.2547836,5.5963097,1.7898064,-0.02104187,0.04289627,-2.0876427,-0.6875501275062561,0.0,0.2053287923336029,0.007539970800280571,184.44056701660156,50.0
62,,None_f31,486472__tkky__piano-chopped-edited.wav,868352,964608,0.0010425035465270916,-1077.3148,223.93964,126.70007,31.622513,-17.976368,-20.597641,-4.666542,3.6987534,-0.04733658,-5.5844345,-5.2717285,-1.6126442,-0.7496681,-1.732216477394104,0.0,0.018526077270507812,0.01009807176887989,255.46835327148438,57.0
63,,None_f31,486472__tkky__piano-chopped-edited.wav,868352,964608,0.0010425035465270916,-1077.3148,223.93964,126.70007,31.622513,-17.976368,-20.597641,-4.666542,3.6987534,-0.04733658,-5.5844345,-5.2717285,-1.6126442,-0.7496681,-1.732216477394104,0.0,0.018526077270507812,0.01009807176887989,255.46835327148438,57.0
64,,None_f32,486472__tkky__piano-chopped-edited.wav,964608,990207,0.0023961502313613894,-1024.6392,272.70123,125.84326,5.4265747,-32.888912,-15.867691,3.460556,5.7497635,4.6152306,9.970486,12.667671,1.975277,-16.580404,-1.3482123613357544,0.0009070294909179211,0.04575963690876961,0.02285156212747097,494.66888427734375,52.0
65,,None_f32,486472__tkky__piano-chopped-edited.wav,964608,990207,0.0023961502313613894,-1024.6392,272.70123,125.84326,5.4265747,-32.888912,-15.867691,3.460556,5.7497635,4.6152306,9.970486,12.667671,1.975277,-16.580404,-1.3482123613357544,0.0009070294909179211,0.04575963690876961,0.02285156212747097,494.66888427734375,52.0
