,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,attack_time,attack_start,attack_stop,zero_crossing,spec_centroid
76,,None_f38,194817__csum__amen-break-mashed-164bpm.wav,242688,250368,0.003970105697711309,-624.84534,67.98069,-48.530846,58.896492,-20.767885,16.2967,-10.681778,17.819124,-3.583149,7.9645348,-3.9447517,7.847706,-4.1178017,-0.7749722003936768,0.00011337868636474013,0.16800454258918762,0.13190104067325592,2653.550537109375
77,,None_f38,194817__csum__amen-break-mashed-164bpm.wav,242688,250368,0.003970105697711309,-624.84534,67.98069,-48.530846,58.896492,-20.767885,16.2967,-10.681778,17.819124,-3.583149,7.9645348,-3.9447517,7.847706,-4.1178017,-0.7749722003936768,0.00011337868636474013,0.16800454258918762,0.13190104067325592,2653.550537109375
78,,None_f39,194817__csum__amen-break-mashed-164bpm.wav,250368,254464,0.01477211806923151,-652.6298,75.88286,17.705696,113.65168,23.984512,39.782787,5.9600525,27.696638,18.022491,9.060535,3.2342148,5.3234215,-9.71818,-1.7014390230178833,0.0,0.019886622205376625,0.02490234375,764.03369140625
79,,None_f39,194817__csum__amen-break-mashed-164bpm.wav,250368,254464,0.01477211806923151,-652.6298,75.88286,17.705696,113.65168,23.984512,39.782787,5.9600525,27.696638,18.022491,9.060535,3.2342148,5.3234215,-9.71818,-1.7014390230178833,0.0,0.019886622205376625,0.02490234375,764.03369140625
80,,None_f40,194817__csum__amen-break-mashed-164bpm.wav,254464,266240,0.00821394505708114,-663.51025,129.51665,9.169781,92.24841,-4.4842453,26.412477,4.383812,22.588121,6.3262444,7.829384,-6.470663,0.37467957,-17.64895,-2.1420114040374756,2.2675736545352265e-05,0.007233560085296631,0.04874320700764656,849.7369995117188
81,,None_f40,194817__csum__amen-break-mashed-164bpm.wav,254464,266240,0.00821394505708114,-663.51025,129.51665,9.169781,92.24841,-4.4842453,26.412477,4.383812,22.588121,6.3262444,7.829384,-6.470663,0.37467957,-17.64895,-2.1420114040374756,2.2675736545352265e-05,0.007233560085296631,0.04874320700764656,849.7369995117188
82,,None_f41,194817__csum__amen-break-mashed-164bpm.wav,266240,274432,0.0024097454734146595,-681.1484,20.926304,-24.783396,88.132355,-2.1108742,13.714098,-22.592247,18.182678,-3.042368,-1.906353,-10.228588,-2.363041,-14.805735,-3.60304594039917,6.80272132740356e-05,0.0003174603043589741,0.161376953125,3687.952392578125
83,,None_f41,194817__csum__amen-break-mashed-164bpm.wav,266240,274432,0.0024097454734146595,-681.1484,20.926304,-24.783396,88.132355,-2.1108742,13.714098,-22.592247,18.182678,-3.042368,-1.906353,-10.228588,-2.363041,-14.805735,-3.60304594039917,6.80272132740356e-05,0.0003174603043589741,0.161376953125,3687.952392578125
84,,None_f42,194817__csum__amen-break-mashed-164bpm.wav,274432,283136,0.0041885073570644155,-626.5767,80.187256,-46.247368,56.354565,-10.718737,18.753145,-14.6630745,7.060894,-9.430801,8.711346,4.3123436,5.6503887,-12.512596,-2.6901960372924805,0.00015873015217948705,0.0021995464339852333,0.13304227590560913,2646.020751953125
85,,None_f42,194817__csum__amen-break-mashed-164bpm.wav,274432,283136,0.0041885073570644155,-626.5767,80.187256,-46.247368,56.354565,-10.718737,18.753145,-14.6630745,7.060894,-9.430801,8.711346,4.3123436,5.6503887,-12.512596,-2.6901960372924805,0.00015873015217948705,0.0021995464339852333,0.13304227590560913,2646.020751953125
